tile_id,split,dem_real_available,dem_shuffled_available,real_current_loss_weighted_viol_frac,real_current_loss_unweighted_viol_frac,real_current_loss_n_active_pairs,real_d8_weighted_viol_frac,real_d8_unweighted_viol_frac,real_d8_n_active_pixels,real_d8_s0,real_n_water,real_n_dry,real_n_valid,real_mean_elev_water,real_mean_elev_dry,real_median_elev_water,real_median_elev_dry,real_delta_mean_elev,real_delta_median_elev,real_elev_auc,shuffled_tile_id,shuffled_current_loss_weighted_viol_frac,shuffled_current_loss_unweighted_viol_frac,shuffled_current_loss_n_active_pairs,shuffled_d8_weighted_viol_frac,shuffled_d8_unweighted_viol_frac,shuffled_d8_n_active_pixels,shuffled_d8_s0,shuffled_n_water,shuffled_n_dry,shuffled_n_valid,shuffled_mean_elev_water,shuffled_mean_elev_dry,shuffled_median_elev_water,shuffled_median_elev_dry,shuffled_delta_mean_elev,shuffled_delta_median_elev,shuffled_elev_auc,delta_current_loss_weighted_viol_frac,delta_current_loss_unweighted_viol_frac,delta_d8_weighted_viol_frac,delta_d8_unweighted_viol_frac,delta_delta_mean_elev,delta_elev_auc
Ghana_97516,train,True,True,0.000416,0.000295,372927,0.000536,0.000383,185495,1.000000,771,186784,187555,204.512329,207.658173,204.000000,207.657074,3.145844,3.657074,0.686709,USA_770353,0.000224,0.000453,348595,0.000361,0.000586,172449,1.000000,771,186784,187555,240.634003,249.634613,240.368256,240.467377,9.000610,0.099121,0.529202,0.000192,-0.000158,0.000175,-0.000203,-5.854767,0.157507
India_1017769,train,True,True,0.006816,0.012779,91711,0.012241,0.013664,46474,1.000000,98143,74828,172971,63.035080,69.765182,62.536835,63.500000,6.730103,0.963165,0.662884,USA_114964,0.012182,0.013637,343840,0.016309,0.016408,171562,1.000000,98143,74828,172971,311.814301,318.237976,313.199799,319.053986,6.423676,5.854187,0.650878,-0.005367,-0.000858,-0.004068,-0.002745,0.306427,0.012006
India_1072277,train,True,True,0.001364,0.013540,522985,0.003688,0.015476,260213,1.000000,22546,239596,262142,80.031654,107.447220,79.380737,86.251068,27.415565,6.870331,0.833435,Paraguay_36146,0.017488,0.016411,523244,0.020739,0.019167,261287,1.000000,22546,239596,262142,148.873810,149.365295,147.621429,148.474503,0.491486,0.853073,0.501149,-0.016124,-0.002871,-0.017051,-0.003691,26.924080,0.332286
India_25540,train,True,True,0.000634,0.008632,372559,0.001935,0.009548,185692,1.000000,11559,177066,188625,67.300438,129.283493,66.679672,90.223770,61.983055,23.544098,0.912896,Nigeria_81933,0.008114,0.009175,320982,0.009888,0.010927,158409,1.000000,11559,177066,188625,60.692928,61.894569,60.695980,61.252975,1.201641,0.556995,0.624791,-0.007480,-0.000543,-0.007952,-0.001379,60.781414,0.288106
India_265762,train,True,True,0.005430,0.009597,290932,0.006278,0.010874,143742,1.000000,8533,138763,147296,90.082428,91.792641,90.094284,91.335388,1.710213,1.241104,0.701422,Somalia_195014,0.011393,0.011776,290936,0.014160,0.014108,145169,1.000000,8533,138763,147296,228.961685,229.684372,225.396423,227.607483,0.722687,2.211060,0.509518,-0.005963,-0.002179,-0.007882,-0.003234,0.987526,0.191904
India_287642,train,True,True,0.014922,0.024907,228891,0.018240,0.028357,113163,1.000000,17914,97463,115377,59.199425,60.644855,59.015129,59.601204,1.445431,0.586075,0.677309,Ghana_83200,0.030861,0.030863,229172,0.037855,0.036681,112974,1.000000,17914,97463,115377,113.997429,113.781288,113.863907,113.166893,-0.216141,-0.697014,0.450954,-0.015939,-0.005956,-0.019614,-0.008324,1.661572,0.226356
India_324254,train,True,True,0.000274,0.002332,522383,0.000616,0.002623,260807,1.000000,3883,258261,262144,124.644974,211.105988,125.374886,183.618866,86.461014,58.243980,0.952471,USA_908474,0.003350,0.003675,522499,0.004025,0.004362,260874,1.000000,3883,258261,262144,293.817474,279.879700,293.286011,282.253052,-13.937775,-11.032959,0.193668,-0.003076,-0.001343,-0.003410,-0.001740,100.398788,0.758804
India_383430,train,True,True,0.007654,0.013814,496614,0.009076,0.016185,246332,1.000000,39228,212043,251271,73.068832,75.071327,72.825134,74.312042,2.002495,1.486908,0.811810,USA_664261,0.024411,0.022010,497148,0.029776,0.027137,247084,1.000000,39228,212043,251271,309.736938,308.561371,308.710846,306.523468,-1.175568,-2.187378,0.459907,-0.016758,-0.008196,-0.020699,-0.010951,3.178062,0.351902
India_534470,train,True,True,0.001968,0.005701,499732,0.002831,0.006699,249000,1.000000,7434,243136,250570,118.851799,130.260635,118.456390,127.240540,11.408836,8.784149,0.777928,Sri-Lanka_152185,0.005809,0.007907,499790,0.009081,0.009207,249378,1.000000,7434,243136,250570,60.330647,63.890999,59.377907,55.494644,3.560352,-3.883263,0.445763,-0.003841,-0.002206,-0.006249,-0.002508,7.848484,0.332166
India_56450,train,True,True,0.000010,0.000039,357341,0.000031,0.000045,178071,1.000000,82,181166,181248,394.493103,437.637512,394.285095,449.608704,43.144409,55.323608,0.749350,India_287642,0.000070,0.000070,356732,0.000096,0.000068,176201,1.000000,82,181166,181248,59.007710,60.655792,58.658485,59.614872,1.648083,0.956387,0.775923,-0.000059,-0.000031,-0.000065,-0.000023,41.496326,-0.026573
India_566697,train,True,True,0.003892,0.011642,427428,0.004808,0.013622,212078,1.000000,14719,200984,215703,80.756317,83.976692,79.699600,84.013870,3.220375,4.314270,0.696070,India_534470,0.014928,0.014108,428210,0.017369,0.016801,213084,1.000000,14719,200984,215703,125.744568,130.391571,123.618095,126.474472,4.647003,2.856377,0.579215,-0.011036,-0.002466,-0.012561,-0.003179,-1.426628,0.116855
India_59460,train,True,True,0.000023,0.000180,416724,0.000065,0.000202,208389,1.000000,315,209038,209353,102.166267,275.535217,91.042908,235.544403,173.368950,144.501495,0.945495,India_707886,0.000523,0.000370,410335,0.000548,0.000455,204482,1.000000,315,209038,209353,148.091843,115.553574,154.342957,109.832535,-32.538269,-44.510422,0.149944,-0.000500,-0.000190,-0.000483,-0.000253,205.907219,0.795551
India_624341,train,True,True,0.000538,0.000962,523040,0.000922,0.001144,261328,1.000000,3224,258918,262142,215.878662,328.208740,220.666214,346.835022,112.330078,126.168808,0.882149,Spain_7856615,0.002315,0.002548,523257,0.002788,0.002892,258963,1.000000,3224,258918,262142,9.419378,9.714842,8.595606,9.472179,0.295464,0.876574,0.671780,-0.001776,-0.001586,-0.001866,-0.001748,112.034615,0.210370
India_698338,train,True,True,0.001571,0.003779,450423,0.002010,0.004250,223085,1.000000,9936,218048,227984,100.893822,99.751480,101.341629,98.931877,-1.142342,-2.409752,0.444629,USA_115033,0.005129,0.004719,452235,0.006215,0.005635,225564,1.000000,9936,218048,227984,277.545959,277.748016,278.762054,277.512024,0.202057,-1.250031,0.505661,-0.003558,-0.000940,-0.004205,-0.001385,-1.344398,-0.061032
India_707886,train,True,True,0.000045,0.000113,503278,0.000047,0.000088,250710,1.000000,5668,251213,256881,83.260284,112.608612,83.000000,104.707909,29.348328,21.707909,0.996123,India_73419,0.001860,0.002030,511886,0.002097,0.002275,253647,1.000000,5668,251213,256881,88.375748,86.020638,87.618256,85.479462,-2.355110,-2.138794,0.266673,-0.001815,-0.001916,-0.002051,-0.002187,31.703438,0.729450
India_73419,train,True,True,0.004151,0.006469,354327,0.005280,0.007406,175136,1.000000,6252,172682,178934,85.372643,86.267830,84.805962,85.646835,0.895187,0.840874,0.600587,Nigeria_78061,0.007457,0.007144,354424,0.008634,0.008445,175612,1.000000,6252,172682,178934,92.884415,94.211975,92.369385,93.192780,1.327560,0.823395,0.583278,-0.003305,-0.000675,-0.003354,-0.001039,-0.432373,0.017309
India_804466,train,True,True,0.008852,0.021707,522216,0.011731,0.025235,258375,1.000000,50228,211906,262134,63.906845,66.655373,63.880859,65.643867,2.748528,1.763008,0.773409,Paraguay_126224,0.025029,0.026862,522253,0.030953,0.031742,257703,1.000000,50228,211906,262134,64.644310,64.572632,64.619209,64.629036,-0.071678,0.009827,0.489585,-0.016177,-0.005155,-0.019222,-0.006507,2.820206,0.283824
India_91379,train,True,True,0.008323,0.016051,521399,0.011127,0.018334,257834,1.000000,29594,232539,262133,62.944313,65.641075,62.776939,64.250648,2.696762,1.473709,0.847468,Spain_3285448,0.030968,0.020923,421205,0.032500,0.024924,209838,1.000000,29594,232539,262133,27.882982,19.393892,24.157618,11.312172,-8.489090,-12.845446,0.415216,-0.022645,-0.004872,-0.021373,-0.006590,11.185852,0.432252
India_956930,train,True,True,0.007840,0.016574,468026,0.010330,0.018574,231239,1.000000,40096,197034,237130,57.363579,58.357224,57.492493,57.669422,0.993645,0.176929,0.592011,Paraguay_44682,0.022762,0.021783,472027,0.027408,0.025345,233026,1.000000,40096,197034,237130,71.961456,72.118484,70.761795,70.867706,0.157028,0.105911,0.518870,-0.014922,-0.005209,-0.017078,-0.006771,0.836617,0.073141
India_979278,train,True,True,0.002240,0.002522,204628,0.002366,0.002775,100905,1.000000,5437,103632,109069,54.127838,56.887707,53.603561,55.969017,2.759869,2.365456,0.837333,Somalia_626316,0.005455,0.005795,216224,0.006594,0.006773,106607,1.000000,5437,103632,109069,109.766304,109.790161,109.762268,109.968460,0.023857,0.206192,0.536593,-0.003215,-0.003273,-0.004228,-0.003998,2.736012,0.300740
India_981708,train,True,True,0.002152,0.009791,446943,0.003230,0.011417,222033,1.000000,10388,213636,224024,110.965294,119.403900,110.663307,114.200806,8.438606,3.537498,0.712598,Spain_337094,0.012929,0.011933,446326,0.013893,0.013550,221995,1.000000,10388,213636,224024,39.772655,51.859520,31.987156,27.450695,12.086864,-4.536461,0.522566,-0.010776,-0.002142,-0.010663,-0.002133,-3.648258,0.190032
Mekong_1191208,train,True,True,0.000689,0.001146,376222,0.000844,0.001151,186763,1.000000,15265,187047,202312,42.998287,64.219467,42.000000,61.890068,21.221180,19.890068,0.993172,Paraguay_989230,0.003686,0.003112,342591,0.004412,0.003697,169338,1.000000,15265,187047,202312,63.021931,60.674278,63.966602,60.069614,-2.347652,-3.896988,0.331859,-0.002998,-0.001966,-0.003568,-0.002546,23.568832,0.661313
Mekong_1396181,train,True,True,0.014738,0.014544,470303,0.014929,0.013692,233135,1.000000,145007,98055,243062,18.563250,23.699362,18.589310,22.705675,5.136112,4.116365,0.899769,Paraguay_605682,0.023640,0.022851,484141,0.027621,0.026254,238512,1.000000,145007,98055,243062,66.824722,66.791931,66.725395,66.762413,-0.032791,0.037018,0.571610,-0.008903,-0.008307,-0.012692,-0.012563,5.168903,0.328159
Mekong_846007,train,True,True,0.000517,0.001283,324268,0.000978,0.001250,161648,1.000000,7535,156495,164030,15.890187,70.836922,15.651749,85.926804,54.946734,70.275055,0.990265,India_59460,0.002155,0.002103,324269,0.002292,0.002582,161861,1.000000,7535,156495,164030,232.812912,260.958923,222.007416,224.130966,28.146011,2.123550,0.562636,-0.001638,-0.000820,-0.001313,-0.001333,26.800723,0.427629
Mekong_922373,train,True,True,0.010758,0.014732,519838,0.013328,0.014680,258507,1.000000,119765,142373,262138,17.452789,29.885202,17.238289,24.417234,12.432413,7.178946,0.934152,Nigeria_707067,0.029857,0.023360,522220,0.030950,0.027378,261160,1.000000,119765,142373,262138,178.027481,163.266617,167.427444,156.817154,-14.760864,-10.610291,0.379359,-0.019099,-0.008628,-0.017622,-0.012697,27.193277,0.554793
Nigeria_143329,train,True,True,0.002482,0.001748,497638,0.002348,0.001790,248091,1.000000,2777,246723,249500,88.596306,111.783615,88.161308,111.665138,23.187309,23.503830,0.978118,USA_693819,0.002145,0.002370,497070,0.002748,0.002770,248050,1.000000,2777,246723,249500,328.302673,327.848602,327.618195,326.112640,-0.454071,-1.505554,0.499582,0.000337,-0.000622,-0.000401,-0.000980,23.641380,0.478536
Nigeria_598959,train,True,True,0.005866,0.015732,419769,0.007301,0.016611,208113,1.000000,46528,164680,211208,66.131897,82.826088,65.511192,69.510315,16.694191,3.999123,0.873379,Somalia_989553,0.017284,0.018778,419755,0.020837,0.021546,207646,1.000000,46528,164680,211208,207.071182,210.726959,201.128723,201.344971,3.655777,0.216248,0.501112,-0.011418,-0.003045,-0.013536,-0.004935,13.038414,0.372266
Nigeria_707067,train,True,True,0.001374,0.003250,520598,0.002349,0.003641,260340,1.000000,3756,257603,261359,136.626282,170.451401,135.677338,160.489151,33.825119,24.811813,0.898845,India_566697,0.004449,0.004243,520663,0.005186,0.005047,258558,1.000000,3756,257603,261359,88.139046,83.820435,88.833626,83.789604,-4.318611,-5.044022,0.228598,-0.003075,-0.000993,-0.002837,-0.001406,38.143730,0.670247
Nigeria_78061,train,True,True,0.001125,0.001522,455429,0.001181,0.001567,225900,1.000000,5494,223392,228886,89.191086,95.380714,88.872375,94.873352,6.189629,6.000977,0.878391,Sri-Lanka_92824,0.002664,0.002873,451753,0.002942,0.003374,224654,1.000000,5494,223392,228886,16.581242,18.522427,13.865229,17.375744,1.941185,3.510515,0.582795,-0.001540,-0.001352,-0.001761,-0.001807,4.248444,0.295596
Nigeria_81933,train,True,True,0.030889,0.031178,421098,0.035618,0.035236,208199,1.000000,177950,68318,246268,61.117268,63.633434,61.026863,62.672928,2.516167,1.646065,0.729623,Pakistan_712873,0.036551,0.032169,490226,0.042632,0.036163,242348,1.000000,177950,68318,246268,111.476845,111.264091,111.226990,111.102722,-0.212753,-0.124268,0.448811,-0.005663,-0.000991,-0.007014,-0.000927,2.728920,0.280812
Nigeria_952958,train,True,True,0.001893,0.003022,451698,0.002088,0.003393,224287,1.000000,9735,217939,227674,83.756317,90.913795,83.607384,88.799530,7.157478,5.192146,0.841044,USA_387945,0.002856,0.003870,449114,0.003860,0.004330,222853,1.000000,9735,217939,227674,265.663116,267.783051,259.668213,260.639526,2.119934,0.971313,0.546864,-0.000962,-0.000848,-0.001772,-0.000937,5.037544,0.294180
Pakistan_132143,train,True,True,0.000000,0.000000,523228,0.000000,0.000000,259405,1.000000,0,262144,262144,,,,,,,,India_956930,0.000000,0.000000,519178,0.000000,0.000000,256783,1.000000,0,262144,262144,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Pakistan_366265,train,True,True,0.000002,0.000008,253516,0.000002,0.000016,125426,1.000000,2,127289,127291,257.339386,257.193176,257.339386,256.622650,-0.146210,-0.716736,0.434869,Somalia_32375,0.000011,0.000016,253520,0.000010,0.000016,125058,1.000000,2,127289,127291,257.547668,257.289917,257.547668,257.153839,-0.257751,-0.393829,0.466631,-0.000010,-0.000008,-0.000008,-0.000000,0.111542,-0.031762
Pakistan_401863,train,True,True,0.000112,0.000114,510854,0.000080,0.000082,255275,1.000000,3324,255521,258845,241.489807,291.616882,241.000000,290.909241,50.127075,49.909241,0.996397,Mekong_1191208,0.000840,0.000950,487589,0.001091,0.001051,242568,1.000000,3324,255521,258845,70.933586,63.853046,67.748421,62.095032,-7.080540,-5.653389,0.312957,-0.000728,-0.000836,-0.001011,-0.000969,57.207615,0.683440
Pakistan_474121,train,True,True,0.000384,0.000260,342945,0.000230,0.000211,170971,1.000000,8893,171896,180789,256.863556,315.736389,255.500000,318.239594,58.872833,62.739594,0.994044,India_56450,0.001092,0.001290,358234,0.001501,0.001526,178895,1.000000,8893,171896,180789,485.434601,437.786652,490.022461,452.701477,-47.647949,-37.320984,0.294897,-0.000708,-0.001030,-0.001270,-0.001315,106.520782,0.699147
Pakistan_667363,train,True,True,0.000285,0.000303,317025,0.000303,0.000345,156574,1.000000,1219,161265,162484,207.380112,210.257629,206.743652,210.134216,2.877518,3.390564,0.797558,Pakistan_401863,0.000607,0.001130,313269,0.001103,0.001456,155876,1.000000,1219,161265,162484,287.482178,289.996185,286.401184,289.465210,2.514008,3.064026,0.588649,-0.000323,-0.000827,-0.000801,-0.001111,0.363510,0.208909
Pakistan_712873,train,True,True,0.002401,0.001715,236782,0.002934,0.002164,116899,1.000000,1316,118241,119557,110.928444,111.648994,110.924423,111.497696,0.720551,0.573273,0.680962,India_91379,0.002494,0.002267,236865,0.003252,0.002640,117036,1.000000,1316,118241,119557,66.204788,65.033005,64.194374,63.306801,-1.171783,-0.887573,0.417313,-0.000093,-0.000552,-0.000317,-0.000476,1.892334,0.263649
Pakistan_760290,train,True,True,0.000000,0.000000,465819,0.000000,0.000000,232203,1.000000,0,233498,233498,,,,,,,,Paraguay_822142,0.000000,0.000000,371935,0.000000,0.000000,183542,1.000000,0,233498,233498,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_1076204,train,True,True,0.000268,0.000323,514698,0.000337,0.000335,256496,1.000000,3029,259115,262144,95.834763,114.562996,94.000000,114.251312,18.728233,20.251312,0.822991,Ghana_134751,0.000767,0.001005,523257,0.000916,0.001177,260848,1.000000,3029,259115,262144,173.217010,186.360901,172.595474,187.477234,13.143890,14.881760,0.740213,-0.000499,-0.000683,-0.000579,-0.000842,5.584343,0.082778
Paraguay_126224,train,True,True,0.019253,0.025245,522289,0.022404,0.027332,257724,1.000000,144382,117762,262144,64.357780,64.866646,64.600830,64.682236,0.508865,0.081406,0.624390,Paraguay_1076204,0.027070,0.029289,514698,0.030836,0.033349,256496,1.000000,144382,117762,262144,118.287460,109.514923,121.880127,105.300018,-8.772537,-16.580109,0.357703,-0.007817,-0.004044,-0.008431,-0.006018,9.281403,0.266687
Paraguay_12870,train,True,True,0.000000,0.000000,523231,0.000000,0.000000,258211,1.000000,0,262144,262144,,,,,,,,Pakistan_132143,0.000000,0.000000,523228,0.000000,0.000000,259405,1.000000,0,262144,262144,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_215904,train,True,True,0.000000,0.000000,450739,0.000000,0.000000,225194,1.000000,0,226308,226308,,,,,,,,Ghana_97516,0.000000,0.000000,449974,0.000000,0.000000,224065,1.000000,0,226308,226308,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_224845,train,True,True,0.000000,0.000000,207042,0.000000,0.000000,102016,1.000000,0,103920,103920,,,,,,,,Paraguay_12870,0.000000,0.000000,207042,0.000000,0.000000,102209,1.000000,0,103920,103920,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_246154,train,True,True,0.000061,0.000034,523251,0.000065,0.000046,259701,1.000000,36,262108,262144,71.557587,78.089630,70.139343,77.483658,6.532043,7.344315,0.796448,Spain_5816638,0.000049,0.000050,523060,0.000064,0.000050,260761,1.000000,36,262108,262144,125.903580,120.248184,109.228111,111.304413,-5.655396,2.076302,0.445555,0.000012,-0.000015,0.000001,-0.000004,12.187439,0.350892
Paraguay_247656,train,True,True,0.000124,0.000452,486891,0.000147,0.000505,241396,1.000000,20976,241168,262144,62.766109,71.827827,62.000000,71.086479,9.061718,9.086479,0.976202,Mekong_1396181,0.002259,0.002123,508795,0.002402,0.002212,252279,1.000000,20976,241168,262144,18.805269,20.739622,18.248539,19.772829,1.934353,1.524290,0.683335,-0.002135,-0.001671,-0.002255,-0.001706,7.127365,0.292868
Paraguay_36015,train,True,True,0.000000,0.000000,523241,0.000000,0.000000,261522,1.000000,0,262139,262139,,,,,,,,Ghana_141910,0.000000,0.000000,518490,0.000000,0.000000,256386,1.000000,0,262139,262139,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_36146,train,True,True,0.000000,0.000000,523252,0.000000,0.000000,261291,1.000000,0,262144,262144,,,,,,,,Somalia_970508,0.000000,0.000000,522960,0.000000,0.000000,258903,1.000000,0,262144,262144,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Paraguay_44682,train,True,True,0.000948,0.000334,523240,0.000717,0.000422,258447,1.000000,1309,260835,262144,69.424736,72.087082,69.277870,70.815300,2.662346,1.537430,0.783478,Sri-Lanka_120804,0.000991,0.000898,521053,0.001262,0.001081,259852,1.000000,1309,260835,262144,81.068268,81.293091,79.471146,81.247101,0.224823,1.775955,0.509262,-0.000043,-0.000564,-0.000546,-0.000660,2.437523,0.274216
Paraguay_605682,train,True,True,0.018484,0.020494,523232,0.021411,0.023232,257829,1.000000,75440,186704,262144,66.731911,66.835876,66.718369,66.749695,0.103966,0.031326,0.573904,Sri-Lanka_49764,0.021886,0.021653,523262,0.025053,0.024987,261501,1.000000,75440,186704,262144,237.614868,266.677399,222.359039,244.400391,29.062531,22.041351,0.592030,-0.003402,-0.001159,-0.003643,-0.001754,-28.958565,-0.018126
Paraguay_822142,train,True,True,0.003966,0.009669,424129,0.004584,0.010571,209259,1.000000,80190,181954,262144,58.745403,61.942139,58.000000,61.582546,3.196735,3.582546,0.928228,Pakistan_366265,0.015340,0.015258,523199,0.018164,0.017458,259079,1.000000,80190,181954,262144,259.260559,259.802460,258.336609,258.945435,0.541901,0.608826,0.537800,-0.011374,-0.005589,-0.013580,-0.006887,2.654835,0.390428
Paraguay_989230,train,True,True,0.001789,0.002465,380452,0.002391,0.003075,188270,1.000000,36591,183333,219924,55.489758,62.334232,55.000000,61.992569,6.844475,6.992569,0.986200,Paraguay_246154,0.005324,0.005212,438434,0.006344,0.006325,217555,1.000000,36591,183333,219924,72.257576,79.581627,70.393600,80.092644,7.324051,9.699043,0.798764,-0.003535,-0.002746,-0.003953,-0.003249,-0.479576,0.187436
Somalia_1068756,train,True,True,0.003272,0.003326,338277,0.003828,0.003823,166608,1.000000,6495,165478,171973,125.599022,125.729187,125.586395,125.666054,0.130165,0.079659,0.567027,USA_604222,0.002959,0.003644,336180,0.003370,0.004172,166812,1.000000,6495,165478,171973,278.440521,282.140045,277.773804,282.117065,3.699524,4.343262,0.743640,0.000313,-0.000318,0.000458,-0.000349,-3.569359,-0.176613
Somalia_195014,train,True,True,0.000000,0.000000,463889,0.000000,0.000000,231521,1.000000,0,233650,233650,,,,,,,,India_981708,0.000000,0.000000,463744,0.000000,0.000000,230340,1.000000,0,233650,233650,,,,,,,,0.000000,0.000000,0.000000,0.000000,,
Somalia_230192,train,True,True,0.000060,0.000059,461462,0.000081,0.000070,227599,1.000000,58,232464,232522,111.645348,112.463608,110.982117,112.501038,0.818260,1.518921,0.705532,Sri-Lanka_956740,0.000057,0.000061,441521,0.000088,0.000082,220022,1.000000,58,232464,232522,83.801208,80.549706,77.877769,80.553040,-3.251503,2.675270,0.472507,0.000003,-0.000003,-0.000007,-0.000012,4.069763,0.233025
Somalia_32375,train,True,True,0.000007,0.000008,262277,0.000006,0.000008,129175,1.000000,1,134095,134096,248.226486,252.540894,248.226486,251.763107,4.314407,3.536621,0.815612,Spain_5923267,0.000000,0.000000,76706,0.000000,0.000000,37761,1.000000,1,134095,134096,0.000000,1.953072,0.000000,0.000000,1.953072,0.000000,0.582509,0.000007,0.000008,0.000006,0.000008,2.361335,0.233103
Somalia_626316,train,True,True,0.005868,0.005662,333610,0.006873,0.006236,164367,1.000000,21727,147358,169085,108.532021,109.424721,108.796051,109.650017,0.892700,0.853966,0.738178,Paraguay_36015,0.006540,0.006148,333619,0.008544,0.007741,166137,1.000000,21727,147358,169085,184.938446,206.523315,185.255188,207.762787,21.584869,22.507599,0.773966,-0.000672,-0.000485,-0.001671,-0.001505,-20.692169,-0.035789
Somalia_970508,train,True,True,0.007604,0.010562,429754,0.009094,0.012126,212437,1.000000,38112,179007,217119,180.560608,184.738983,180.415863,183.077652,4.178375,2.661789,0.880451,Nigeria_598959,0.012278,0.012715,429965,0.015520,0.015157,212844,1.000000,38112,179007,217119,72.393433,76.955124,67.372711,67.192162,4.561691,-0.180550,0.514520,-0.004674,-0.002153,-0.006426,-0.003031,-0.383316,0.365931
